Country Code (ISO3),Region,Zip,Weight From,Weight To,Price,Type
*,*,*,0,30,300.00,SDA Resto del mondo
ITA,*,*,0.00,3.00,8.4,SDA Italia
ITA,*,*,3.01,10.00,8.4,SDA Italia
ITA,*,*,10.01,20.00,11.4,SDA Italia
ITA,*,*,20.01,30.00,11.4,SDA Italia
ITA,*,*,30.01,50.00,18.6,SDA Italia
ITA,*,*,50.01,60,24,SDA Italia
ITA,*,*,60.01,70,28.8,SDA Italia
ITA,*,*,70.01,80,33.6,SDA Italia
ITA,*,*,80.01,90,"38,4",SDA Italia
ITA,*,*,90.01,100,43.2,SDA Italia
ITA,*,*,100.01,110,48,SDA Italia
ITA,*,*,110.01,120,52.8,SDA Italia
ITA,*,*,120.01,99999,500,SDA Italia
AND,*,*,0,0.5,31.86,SDA Tradizionale ZONA  1
AND,*,*,0.51,1,33.30,SDA Tradizionale ZONA  1
AND,*,*,1.01,1.5,34.38,SDA Tradizionale ZONA  1
AND,*,*,1.51,2,36.06,SDA Tradizionale ZONA  1
AND,*,*,2.01,2.5,37.80,SDA Tradizionale ZONA  1
AND,*,*,2.51,3,40.20,SDA Tradizionale ZONA  1
AND,*,*,3.01,3.5,41.40,SDA Tradizionale ZONA  1
AND,*,*,3.51,4,42.90,SDA Tradizionale ZONA  1
AND,*,*,4.01,4.5,44.46,SDA Tradizionale ZONA  1
AND,*,*,4.51,5,45.96,SDA Tradizionale ZONA  1
AND,*,*,5.01,5.5,47.22,SDA Tradizionale ZONA  1
AND,*,*,5.51,6,47.34,SDA Tradizionale ZONA  1
AND,*,*,6.01,6.5,47.82,SDA Tradizionale ZONA  1
AND,*,*,6.51,7,49.20,SDA Tradizionale ZONA  1
AND,*,*,7.01,7.5,50.58,SDA Tradizionale ZONA  1
AND,*,*,7.51,8,51.90,SDA Tradizionale ZONA  1
AND,*,*,8.01,8.5,53.22,SDA Tradizionale ZONA  1
AND,*,*,8.51,9,54.60,SDA Tradizionale ZONA  1
AND,*,*,9.01,9.5,56.04,SDA Tradizionale ZONA  1
AND,*,*,9.51,10,57.42,SDA Tradizionale ZONA  1
AND,*,*,10.01,10.5,61.32,SDA Tradizionale ZONA  1
AND,*,*,10.51,11,63.96,SDA Tradizionale ZONA  1
AND,*,*,11.01,11.5,64.92,SDA Tradizionale ZONA  1
AND,*,*,11.51,12,65.88,SDA Tradizionale ZONA  1
AND,*,*,12.01,12.5,66.84,SDA Tradizionale ZONA  1
AND,*,*,12.51,13,67.80,SDA Tradizionale ZONA  1
AND,*,*,13.01,13.5,68.76,SDA Tradizionale ZONA  1
AND,*,*,13.51,14,69.78,SDA Tradizionale ZONA  1
AND,*,*,14.01,14.5,70.74,SDA Tradizionale ZONA  1
AND,*,*,14.5,15,71.70,SDA Tradizionale ZONA  1
AND,*,*,15.01,15.5,72.66,SDA Tradizionale ZONA  1
AND,*,*,15.51,16,73.62,SDA Tradizionale ZONA  1
AND,*,*,16.01,16.5,74.58,SDA Tradizionale ZONA  1
