"SKU","TITLE","DESCRIPTION","WEIGHT","PRICE","CATEGORY","IMAGEURL","COLORE","TAGLIA","FREESHIPPING","GROUPBY"
"100_white_L.XL","Maglia intimo sportivo carbonio carbon sport underware hi tech smanicata girocollo - L/XL","Maglietta smanicata girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.1710,33.0000,"Intimo uomo hi-tech in carbonio/Carbon","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/100_01_l.jpg","WHITE","L/XL","NO","100"
"100_white_S.M","Maglia intimo sportivo carbonio carbon sport underware hi tech smanicata girocollo - S/M","Maglietta smanicata girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.1710,33.0000,"Intimo uomo hi-tech in carbonio/Carbon","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/100_01_l.jpg","WHITE","S/M","NO","100"
"100_white_XS","Maglia intimo sportivo carbonio carbon sport underware hi tech smanicata girocollo - XS","Maglietta smanicata girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.1710,33.0000,"Intimo uomo hi-tech in carbonio/Carbon","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/100_01_l.jpg","WHITE","XS","NO","100"
"100_Nero_L.XL","Maglia intimo sportivo carbonio carbon sport underware hi tech smanicata girocollo - L/XL","Maglietta smanicata girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.1710,33.0000,"Intimo uomo hi-tech in carbonio/Carbon","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/100_01_l.jpg","BLACK","L/XL","NO","100"
"100_Nero_S.M","Maglia intimo sportivo carbonio carbon sport underware hi tech smanicata girocollo - S/M","Maglietta smanicata girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.1710,33.0000,"Intimo uomo hi-tech in carbonio/Carbon","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/100_01_l.jpg","BLACK","S/M","NO","100"
"100_Nero_XS","Maglia intimo sportivo carbonio carbon sport underware hi tech smanicata girocollo - XS","Maglietta smanicata girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.1710,33.0000,"Intimo uomo hi-tech in carbonio/Carbon","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/100_01_l.jpg","BLACK","XS","NO","100_white"
"100D_white_L.XL","Maglia intimo sportivo carbonio carbon sport underware hi tech smanicata girocollo - L/XL","Maglietta smanicata girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.1710,33.0000,"Intimo donna hi-tech in carbonio/Carbon","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/100D_01_l.jpg","WHITE","L/XL","NO","100D"
"100D_white_S.M","Maglia intimo sportivo carbonio carbon sport underware hi tech smanicata girocollo - S/M","Maglietta smanicata girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.1710,33.0000,"Intimo donna hi-tech in carbonio/Carbon","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/100D_01_l.jpg","WHITE","S/M","NO","100D"
"100D_white_XS","Maglia intimo sportivo carbonio carbon sport underware hi tech smanicata girocollo - XS","Maglietta smanicata girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.1710,33.0000,"Intimo donna hi-tech in carbonio/Carbon","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/100D_01_l.jpg","WHITE","XS","NO","100D"
"100D_Nero_L.XL","Maglia intimo sportivo carbonio carbon sport underware hi tech smanicata girocollo - L/XL","Maglietta smanicata girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.1710,33.0000,"Intimo donna hi-tech in carbonio/Carbon","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/100D_01_l.jpg","BLACK","L/XL","NO","100D"
"100D_Nero_S.M","Maglia intimo sportivo carbonio carbon sport underware hi tech smanicata girocollo - S/M","Maglietta smanicata girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.1710,33.0000,"Intimo donna hi-tech in carbonio/Carbon","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/100D_01_l.jpg","BLACK","S/M","NO","100D"
"100D_Nero_XS","Maglia intimo sportivo carbonio carbon sport underware hi tech smanicata girocollo - XS","Maglietta smanicata girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.1710,33.0000,"Intimo donna hi-tech in carbonio/Carbon","http://www.viaintimosportivoasa.it/media/catalog/product/1/0/100D_01_l.jpg","BLACK","XS","NO","100D"
"604_Nero_L.XL","Boxer - L/XL","Boxer    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.1710,23.0000,"Intimo uomo hi-tech","http://www.viaintimosportivoasa.it/media/catalog/product/6/0/604_01_l.jpg","BLACK","L/XL","NO","604"
"604_Nero_S.M","Boxer - S/M","Boxer    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.1710,23.0000,"Intimo uomo hi-tech","http://www.viaintimosportivoasa.it/media/catalog/product/6/0/604_01_l.jpg","BLACK","S/M","NO","604"
"604_Nero_XS","Boxer - XS","Boxer    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.1710,23.0000,"Intimo uomo hi-tech","http://www.viaintimosportivoasa.it/media/catalog/product/6/0/604_01_l.jpg","BLACK","XS","NO","604"
"603_Nero_L.XL","Pantalone ¾ sottotuta - L/XL","Pantalone ¾ sottotuta    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.1710,35.0000,"Intimo uomo hi-tech","http://www.viaintimosportivoasa.it/media/catalog/product/6/0/603_01_l.jpg","BLACK","L/XL","NO","603"
"603_Nero_S.M","Pantalone ¾ sottotuta - S/M","Pantalone ¾ sottotuta    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.1710,35.0000,"Intimo uomo hi-tech","http://www.viaintimosportivoasa.it/media/catalog/product/6/0/603_01_l.jpg","BLACK","S/M","NO","603"
"603_Nero_XS","Pantalone ¾ sottotuta - XS","Pantalone ¾ sottotuta    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.1710,35.0000,"Intimo uomo hi-tech","http://www.viaintimosportivoasa.it/media/catalog/product/6/0/603_01_l.jpg","BLACK","XS","NO","603"
"601_Nero_L.XL","Boxer Parigamba - L/XL","Boxer Parigamba    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.1710,20.0000,"Intimo uomo hi-tech","http://www.viaintimosportivoasa.it/media/catalog/product/6/0/601_01_l.jpg","BLACK","L/XL","NO","601"
"601_Nero_S.M","Boxer Parigamba - S/M","Boxer Parigamba    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.1710,20.0000,"Intimo uomo hi-tech","http://www.viaintimosportivoasa.it/media/catalog/product/6/0/601_01_l.jpg","BLACK","S/M","NO","601"
"601_Nero_XS","Boxer Parigamba - XS","Boxer Parigamba    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.1710,20.0000,"Intimo uomo hi-tech","http://www.viaintimosportivoasa.it/media/catalog/product/6/0/601_01_l.jpg","BLACK","XS","NO","601"
"600D_White_L","Slip Donna - L","Slip Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.1710,20.0000,"Intimo donna hi-tech","http://www.viaintimosportivoasa.it/media/catalog/product/6/0/600D_01_l.jpg","WHITE","L","NO","600D"
